,condition,card2vec,drugName
0,482,"[-0.021912526339292526, 0.03628192096948624, -0.3859809339046478, 0.38737139105796814, 0.32208049297332764, -0.0606829933822155, -0.11542165279388428, -0.057877592742443085, -0.09760782122612, 0.17099034786224365, 0.1615877002477646, 0.21749332547187805, -0.03920379653573036, -0.4764675498008728, 0.13301287591457367, -0.05244927108287811, 0.10396986454725266, 0.06141526252031326, -0.02416173182427883, 0.1040809378027916, 0.590901792049408, -0.14916276931762695, 0.11472370475530624, -0.2411532998085022, 0.4100153148174286, 0.11420554667711258, -0.27997756004333496, -0.18206645548343658, -0.36082661151885986, 0.18208564817905426, 0.23394496738910675, 0.07331179082393646, -0.31403109431266785, -0.09959113597869873, 0.09335446357727051, 0.05362444743514061, 0.2772967517375946, 0.3196483552455902, -0.19231179356575012, -0.03928317874670029, 0.042916830629110336, 0.24738909304141998, -0.08725155889987946, 0.051642101258039474, 0.017029939219355583, -0.16437479853630066, -0.11025393009185791, 0.06913764029741287, 0.25526508688926697, -0.17906475067138672, -0.056816454976797104, -0.12802264094352722, 0.14207756519317627, -0.05250841751694679, 0.20529231429100037, -0.09440901130437851, -0.3977155089378357, -0.12129715830087662, 0.29305166006088257, -0.3032757341861725, -0.18544448912143707, -0.2389361560344696, -0.38866347074508667, 0.05157700181007385]",3300
1,88,"[-0.6184279322624207, 0.09210983663797379, -0.27249768376350403, 0.5460541248321533, -0.2626398801803589, 0.04179641604423523, 0.22140225768089294, -0.3736262917518616, 0.1703975647687912, -0.06495049595832825, 0.024658285081386566, -0.9860309958457947, -0.1534891277551651, -1.2767724990844727, 1.023324966430664, 1.1546759605407715, -0.09797843545675278, -0.13849207758903503, -0.1523103564977646, -0.12614589929580688, 0.970422089099884, -0.7871620059013367, -0.3038100004196167, -0.18428322672843933, 0.6979157328605652, -1.107155680656433, -0.7800633907318115, -0.20822705328464508, 0.1361648142337799, 0.8338599801063538, 0.5676236748695374, -0.002243578666821122, -0.5774824619293213, -0.6396227478981018, 0.3737391531467438, -0.1602233648300171, -0.7873197793960571, 0.15522313117980957, -0.8343065977096558, -0.3343347907066345, 0.7492759227752686, -0.7463810443878174, 0.759758710861206, 0.12079644203186035, 0.9555879831314087, -0.5184736847877502, 0.41099807620048523, 1.0427511930465698, 0.5417112708091736, 0.28150391578674316, -1.5004230737686157, -0.5812384486198425, 0.8094198703765869, -0.2219419628381729, 0.8588712811470032, 0.4332657754421234, -0.8264467716217041, 0.14868716895580292, -0.16476204991340637, -1.1337385177612305, 0.3137473464012146, -0.5984397530555725, 0.28114497661590576, -0.1768932342529297]",1554
2,173,"[-0.795355498790741, 0.19511660933494568, -0.7013190984725952, -0.5276854038238525, -0.94268399477005, 0.13251033425331116, 0.42974716424942017, -1.4721851348876953, 0.06237386539578438, -0.62947016954422, 0.5259929299354553, 0.149814635515213, -0.3403576910495758, -1.0820780992507935, -0.27810850739479065, 0.24717295169830322, 0.6317680478096008, -0.24143637716770172, 0.5116313099861145, 1.107742428779602, 0.11346898227930069, -0.5369758605957031, 0.6161375045776367, 0.1229691281914711, 0.8761106729507446, 0.1269298791885376, -0.5615664720535278, 0.9667532444000244, 0.18758940696716309, 0.6348229646682739, -0.6384749412536621, 0.5013583898544312, 0.8945824503898621, 0.10926830768585205, 1.2836960554122925, -0.22893354296684265, -0.28339019417762756, 2.2328028678894043, -0.03428323194384575, -0.3155387043952942, -0.28530895709991455, -0.38645920157432556, -0.5671488642692566, 0.9531739950180054, 0.7385945916175842, -0.39192336797714233, -1.2184399366378784, -1.179266333580017, -0.25920188426971436, -0.14165686070919037, -1.5900157690048218, -0.17501193284988403, 0.23673421144485474, -0.061685752123594284, 0.7718871235847473, 0.3115978240966797, -1.1794155836105347, -0.12658368051052094, 0.41261523962020874, -1.3185803890228271, 0.6475235223770142, 0.7229807376861572, -1.027604341506958, 0.46719032526016235]",1961
3,173,"[0.4308176040649414, -0.20798850059509277, 0.32708626985549927, -0.6183724403381348, -0.10996785014867783, 0.5547423958778381, -0.16037015616893768, -0.41470471024513245, -0.5695295333862305, -0.6379923224449158, -0.028532467782497406, -0.37381255626678467, -0.8776029348373413, -0.6387585401535034, -0.4166962504386902, -0.3696473240852356, 0.2110552191734314, 0.7943423390388489, -0.39759814739227295, -0.8524308204650879, 0.05071573331952095, 0.09362898021936417, 1.2367664575576782, 0.02477298304438591, 0.6177421808242798, -0.05219971388578415, 0.48262056708335876, 0.5329082608222961, 0.21102972328662872, 1.219284176826477, 1.1573235988616943, 0.1774960607290268, 0.08674199879169464, 0.8306205868721008, 0.9843894839286804, 0.20127885043621063, 0.6001355051994324, 0.9416172504425049, -0.6058406829833984, -0.5021712779998779, 0.11023487895727158, -0.224938303232193, -0.06891865283250809, 1.2493205070495605, 0.4812493324279785, 0.022633010521531105, 0.6596742272377014, -0.1570395976305008, -0.19749610126018524, -1.042965292930603, 0.05566256493330002, -1.4214863777160645, 0.6142802238464355, -0.3288888931274414, 1.2892332077026367, 0.46904441714286804, -0.034364353865385056, -0.498690128326416, 0.7627512812614441, -0.8168190717697144, 0.10529716312885284, -0.1907988339662552, 0.1070031225681305, 0.7692164778709412]",2384
4,603,"[-0.025552066043019295, -0.7612127661705017, -1.654053807258606, 0.6240840554237366, 0.41406771540641785, -0.891687273979187, -0.45076698064804077, -1.1108348369598389, 0.3514493405818939, 0.3201581835746765, 0.6555984020233154, 0.23626644909381866, -2.169552803039551, -0.20569711923599243, 0.9058634638786316, -0.36578959226608276, -0.21708962321281433, 0.3090142607688904, -0.4348483085632324, 0.23576679825782776, 0.05792927369475365, -0.23600473999977112, -1.7237894535064697, -0.28338906168937683, 0.8131362199783325, 1.1293647289276123, -0.7778376340866089, -0.13403257727622986, 1.20918607711792, 1.0760154724121094, -0.03117739036679268, -0.2570028305053711, -1.0134919881820679, -0.32983317971229553, -0.6960187554359436, 0.25268247723579407, 0.38670670986175537, 0.11114718019962311, -0.35628554224967957, -0.18848341703414917, -0.7118558883666992, 0.7362756729125977, 0.19894349575042725, 0.06399689614772797, -0.21639643609523773, 0.26255398988723755, -0.42897891998291016, 0.5262307524681091, 0.48352521657943726, 0.870506763458252, 0.13763384521007538, 0.13997240364551544, -0.012858220376074314, -0.38964807987213135, 0.3790164291858673, -0.22879242897033691, -1.1203227043151855, 0.5574570298194885, -0.7019608020782471, -0.9103617668151855, -0.117148756980896, -1.4057962894439697, -1.3274569511413574, -0.07357234507799149]",684
5,603,"[0.0663231760263443, -0.699384868144989, -1.456411361694336, 0.5758432745933533, 0.4994344115257263, -0.8917692303657532, -0.5073188543319702, -1.194705843925476, 0.40052735805511475, 0.22252506017684937, 0.6215237379074097, 0.1982247680425644, -2.2646431922912598, -0.178308367729187, 1.0775665044784546, -0.30808568000793457, -0.1416514664888382, 0.3763972222805023, -0.520209014415741, 0.08657070249319077, 0.0725296214222908, -0.313010573387146, -1.7633113861083984, -0.18328174948692322, 0.7827516794204712, 1.1843699216842651, -0.6684836745262146, -0.09784078598022461, 1.3325672149658203, 1.0299651622772217, -0.09927811473608017, -0.2975393235683441, -0.9823395013809204, -0.21426668763160706, -0.6538980007171631, 0.20699946582317352, 0.4439559578895569, 0.1940753012895584, -0.4064217209815979, -0.18444539606571198, -0.6562225222587585, 0.7027235627174377, 0.1952219009399414, 0.002877793274819851, -0.24450649321079254, 0.46298933029174805, -0.3814994692802429, 0.5609033703804016, 0.4809415936470032, 0.905322790145874, 0.15893781185150146, 0.0055472771637141705, -0.01786806806921959, -0.3056793510913849, 0.2635839283466339, -0.11150448769330978, -1.0752514600753784, 0.7672907710075378, -0.7692273855209351, -0.9988725185394287, -0.0903298407793045, -1.4148170948028564, -1.4162930250167847, -0.13204196095466614]",125
6,168,"[-0.5040831565856934, 0.902152419090271, -1.495321273803711, 0.6715007424354553, 0.5715916156768799, 0.9277627468109131, 0.14921480417251587, -0.04352635145187378, -0.20660226047039032, -0.7003412246704102, 0.5525507926940918, -0.40072306990623474, 0.30620038509368896, -1.275367259979248, 0.4141329526901245, 0.20026876032352448, 0.2783283591270447, -0.032036710530519485, -0.2019185721874237, -0.7089318037033081, 0.12375110387802124, 0.9843540191650391, 0.9433379173278809, -1.0346126556396484, 0.026079202070832253, 0.0511365681886673, -0.8623327612876892, -0.330131471157074, -0.05123041942715645, 0.2528204917907715, 0.5328104496002197, -0.12857608497142792, 0.024145035073161125, -0.2642652094364166, -0.9026131629943848, 0.014622564427554607, 0.4711155891418457, 1.4045639038085938, 0.5685843229293823, 0.41823694109916687, 0.3375474810600281, 0.5535456538200378, -0.5828959345817566, 0.4103662073612213, 0.23908892273902893, 0.5868878960609436, -0.612602710723877, 0.5063841938972473, -0.004874974023550749, -0.10613337904214859, -0.5537848472595215, 0.07264986634254456, 0.564476728439331, 0.0059128631837666035, -0.09476648271083832, -0.09131743013858795, -0.7730010151863098, 0.8700497150421143, 0.5278899073600769, -0.6350786685943604, 0.5385764241218567, 0.08341410011053085, -0.29437142610549927, 0.7520170211791992]",825
7,314,"[0.13877297937870026, -0.15632373094558716, -0.6846814751625061, 0.20800422132015228, 0.6801051497459412, 0.04565802961587906, 0.05819407105445862, -0.25416693091392517, 0.1854616403579712, -0.061602912843227386, 0.2911854386329651, -0.02200387232005596, -0.24966846406459808, -0.6766598224639893, 0.10452800989151001, 0.07565069943666458, 0.1317007839679718, 0.15252582728862762, 0.03101971186697483, 0.21227794885635376, 0.4214797019958496, -0.0971980094909668, 0.02367253415286541, -0.42848092317581177, -0.00028629571897909045, 0.05126161128282547, -0.24045203626155853, -0.057690996676683426, -0.30368760228157043, 0.6098570227622986, 0.36422187089920044, 0.1887730360031128, -0.6759870052337646, -0.020218871533870697, 0.09485060721635818, 0.12127053737640381, 0.5393524169921875, 0.6460111141204834, -0.00946834310889244, 0.5093916058540344, -0.34977561235427856, -0.04727404564619064, -0.02814611606299877, -0.3186550438404083, 0.06642148643732071, 0.017543068155646324, -0.4158259630203247, -0.4354174733161926, 0.261111855506897, 0.43079203367233276, -0.42976731061935425, -0.23132315278053284, 0.3132338523864746, -0.06975026428699493, 0.8336596488952637, 0.4552583396434784, -0.138168066740036, -0.08972783386707306, 0.05377841740846634, -0.4860270023345947, 0.38777533173561096, -0.23331283032894135, -0.04200136289000511, -0.20962293446063995]",1857
8,172,"[0.8242568969726562, -0.23771527409553528, -0.7314187288284302, 1.1473065614700317, 0.2006671130657196, 0.9792081117630005, -0.7788590788841248, 0.5922682285308838, 0.8590408563613892, -0.005897961091250181, -0.7507990598678589, 0.6281152963638306, -1.1291240453720093, -0.6303022503852844, -0.36111852526664734, 1.2335225343704224, 0.10568437725305557, -0.197307750582695, 0.12449437379837036, 0.3370312452316284, 0.6340373158454895, -0.377911239862442, -1.4046189785003662, -0.24010036885738373, 0.3362120985984802, 1.3367539644241333, -0.15882635116577148, -0.29498985409736633, 0.09603127837181091, -0.46414652466773987, 0.07753244042396545, -0.7474456429481506, -0.4109727442264557, 0.4321816861629486, 0.44695308804512024, 0.6313142776489258, 0.417229026556015, -0.5208013653755188, -0.02819875068962574, 0.5417220592498779, -0.100221648812294, -0.19864597916603088, -0.5310564637184143, 0.3608175218105316, 0.9248152375221252, 0.31623563170433044, -1.3213956356048584, 0.45609405636787415, 0.6124649047851562, -1.07175874710083, -0.7742740511894226, -0.5177091360092163, -0.5514134168624878, -0.5471943020820618, 0.7726020812988281, -0.36601516604423523, -0.4861944317817688, 0.3873561918735504, 1.2676739692687988, 0.6919712424278259, -0.4972156584262848, -0.849102258682251, -1.0269144773483276, 0.09448713064193726]",450
9,324,"[-0.298760324716568, 0.496046781539917, -0.9833993315696716, 0.4855535924434662, 0.9846846461296082, 0.06748155504465103, 0.010713879019021988, -0.26631948351860046, -0.6191074252128601, -0.0803358256816864, 0.8040919899940491, 0.18718527257442474, 0.33486056327819824, -1.3782851696014404, 0.25289076566696167, 0.4824331998825073, 0.4738362729549408, 0.3549244701862335, 0.22133687138557434, -0.6806445121765137, 0.7165072560310364, -0.055644840002059937, 0.11951012909412384, -0.18487004935741425, 0.3397783935070038, -0.18699754774570465, -0.028387323021888733, 0.23543092608451843, -0.19490699470043182, 0.9522797465324402, 0.5615237355232239, -0.30281776189804077, -0.07221163809299469, -0.019630275666713715, 0.5176259279251099, 0.44291460514068604, 1.4267226457595825, 0.9406043887138367, -0.3958791494369507, -0.11852369457483292, -0.22220827639102936, 0.3866094946861267, 0.1509600430727005, 0.46171000599861145, -0.3604643940925598, -0.24025660753250122, -0.7774100303649902, 0.37585729360580444, 0.10898055881261826, -0.466807097196579, 0.411865234375, 0.009592637419700623, 0.888476550579071, -0.5068739652633667, 0.9381330609321594, -0.23138950765132904, -0.014018937014043331, 0.21968334913253784, 0.07693251967430115, 0.08705705404281616, 0.6420789957046509, -0.5192184448242188, -0.975958526134491, 0.23909983038902283]",1771
