,review,condition,drugName
109,"""I just started this medication on April st and after  days I started seeing the effects and I can see it&#;s taking it&#;s course and working so far. The doctor started me on mg two times a day for  months. So far only side effect is dryness which was to be expected. """,0,5
193,"""Changed my life completely, I can actually function in social settings.""",2,1
250,"""I have been on Vyvanse for almost  years and have had no major symptoms. I had dry mouth, but that pretty much subsided. I did lose about lbs, but I&#;m &#;&quot; and was weighing about lbs, so it wasn&#;t as bad thing. I have ADHD, I started this medicine when I was almost . I&#;m almost  and really have had a great experience. My son is on it for ADD, and my daughter for ADHD. She was just tested and accepted into the gifted program and he is  years younger and has had significant improvements to his grades and behavior. I would recommend.""",1,6
252,"""Day . Taking for major anxiety/ slight depression. mg daily. Anxiety is lifting and feel much more in control and calm. Only side symptom is a slight wheezy/ tired feeling. I took it last night about pm and was asleep by pm. First time in a year that a fell asleep without racing thoughts and worries.""",2,3
253,"""I have a spinal cord injury. I&#;m  years in this year. The only thing I feel below my waist is nerve pain, its really bad in my feet. If it wasn&#;t for the Neurontin and taking Cymbalta together I wouldn&#;t be able to function because of the nerve pain. It does help but for me I cant take the generic gabapentin.""",4,4
325,"""I&#;ve been tormented by anxiety since childhood. I am  years old and have been through a lot in my life. I&#;ve been diagnosed with depression, bipolar disorder and anxiety, panic attacks, ADD. I&#;ve been medicated most my life as well. My anxiety got so bad in high school that I had to be home schooled. I wake up in the morning feeling like my heart will explode for no apparent reason. I get intense irrational fear and intense impulses to harm myself because I just can&#;t take it and get frustrated I start throwing and breaking things I can&#;t stand to be alone a lot of the time. Xanax works fast and calms me down without knocking me out. Depending on the severity of my attacks I take up to  mg. No less than .-mg.""",2,1
427,"""I have been self medicating for years with tramadol. I suffer from anxiety, panic attacks, and depression. I was taking way to much tramadol to cope with life and was spending money I didn&#;t have to buy it! It&#;s a miracle that this drug works so great! I was at the point where all I did was sleep and dodge all things social! I&#;m only on day  and I already feel the pre depression me returning! Oh, I also take vistaril when the panic and anxiery really hits! I&#;ve only taken my  mg Lexapro and one  mg Vistiral this morning and I feel great! It doesn&#;t give me the euphoric feeling that tram does but this is so much better! I almost feel normal! If I feel this great already I can only imagine how much better it&#;ll get!""",2,3
448,"""Many people are unreasonably scared of Klonopin&#;s bad withdrawal dramas.
Well... It is true. It is a painful process to get away from Klonopin once you stepped into its comfortable zone, but I want to say I would rather feel relaxed and comfortable than struggling with unnecessary anxiety caused by Neurotransmitter unbalances. 
This medication truly gave me a freedom from fear and agitation and get back to my life.""",2,2
509,"""It makes any impossible situation more possible, it controls violence rage temper anger towards others. Post Traumatic Stress Disorder, panic attacks and keeps you calm.  The best!""",2,1
539,"""This is my miracle. I was put on it in Germany and had to go off it until I had insurance again. I suffer from depression and anxiety. Often I would find myself stuck in a daydream world because of all the things going on in my life, including my partner of years (-). I would have no energy and just feel so low. Finally I had insurance and was put on mg a day. I feel so much better. I feel like I can handle life and set goals for myself. I don&#;t feel anxiety. I don&#;t sit here and think of the negative and focus on a positive life. I am more fun and interactive with my son. 

It literately saved my life. I don&#;t know why.""",2,4
